0,1,2,3,4
Platform,Firm,Released[2],Units sold,Ref.
PlayStation 2,Sony,2000,>155 millionGT,[note 1]
PlayStation,Sony,1994,102.49 million,[33]
Wii,Nintendo,2006,101.63 million,[17]
Xbox 360,Microsoft,2005,84 million,[note 3]
PlayStation 3,Sony,2006,>83.8 millionGT,[note 1]
PlayStation 4,Sony,2013,82.2 million,[39][40][41]
Nintendo Entertainment System,Nintendo,1983,61.91 million,[17]
Super Nintendo Entertainment System,Nintendo,1990,49.10 million,[17]
Xbox One,Microsoft,2013,39.1 million(estimate),[note 3]
Nintendo 64,Nintendo,1996,32.93 million,[17]
Sega Genesis,Sega,1988,30.75 million,[note 4]
Atari 2600,Atari,1977,30 million,[43]
Xbox,Microsoft,2001,24 million,[44]
GameCube,Nintendo,2001,21.74 million,[17]
Nintendo Switch,Nintendo,2017,19.67 million,[42]
Wii U,Nintendo,2012,13.56 million,[17]
Master System,Sega,1986,10–13 million,[note 5]
TurboGrafx-16,NEC/Hudson Soft[note 6],1987,10 million,[53]
Sega Saturn,Sega,1994,9.26 million,[54]
Dreamcast,Sega,1998,9.13 million,[54][55][56][57]
Sega Pico,Sega,1993,>3.4 millionGT,[note 7]
Intellivision,Mattel,1980,3 million,[69]
ColecoVision,Coleco,1982,>2 millionGT,[note 9]
Magnavox Odyssey²,Magnavox/Philips,1978,2 million,[75]
Philips CD-i,Philips,1991,>1 millionGT,[note 11]
Atari 5200,Atari,1982,1 million,[82]
